FID,osmid,POINT_X,POINT_Y
239,84796384,-82.3425433,29.6448248
240,84796389,-82.334044,29.643406
241,84796392,-82.335777,29.643411
242,84796442,-82.3414143,29.6448187
243,84796449,-82.3414665,29.6444719
244,84796458,-82.3423162,29.6434329
245,84796460,-82.3423747,29.6434342
246,84796502,-82.3366889,29.6365165
247,84797824,-82.365824,29.626336
248,84797830,-82.3654815,29.626622
249,84797833,-82.365393,29.626857
250,84797908,-82.3739343,29.629129
251,84799888,-82.338019,29.637853
252,84800250,-82.3558614,29.6267879
253,84800251,-82.355855,29.626537
254,84800252,-82.355863,29.626517
255,84804374,-82.3540782,29.6256397
256,84805809,-82.362665,29.631428
257,84806022,-82.3531526,29.648291
258,84806024,-82.3531577,29.6481806
259,84806051,-82.3517023,29.6452976
260,84806052,-82.351705,29.644891
261,84807794,-82.3626757,29.6274817
262,84807797,-82.3633027,29.6274955
263,84807805,-82.3626711,29.6271057
264,84807808,-82.36284,29.626889
265,84809164,-82.36831,29.628769
266,84809743,-82.3432351,29.635168
267,84809745,-82.344638,29.6348261
268,84811004,-82.3636106,29.6406018
269,84811013,-82.3589432,29.640639
270,84811015,-82.3588514,29.640582
271,84811019,-82.3586882,29.6383835
272,84811021,-82.3586482,29.638031
273,84813770,-82.365403,29.627254
274,84813791,-82.3653147,29.627558
275,84814772,-82.3554055,29.6460357
276,84814779,-82.3530322,29.645315
277,84815303,-82.3463131,29.6551455
278,84815311,-82.3381312,29.6537794
279,84817332,-82.3722969,29.6484462
280,84817333,-82.373558,29.6484661
281,84817335,-82.3723096,29.6477964
282,84817337,-82.3726842,29.647816
283,84817338,-82.3729009,29.6478182
284,84817340,-82.3730323,29.6476954
285,84817341,-82.3731677,29.6475903
286,84817343,-82.3733103,29.6475637
287,84817345,-82.3735739,29.6475661
288,84817358,-82.3738631,29.6465054
289,84817361,-82.373776,29.6465408
290,84817362,-82.3736824,29.6465546
291,84817364,-82.3723427,29.6465354
292,84817383,-82.37242,29.6392966
293,84817385,-82.3735946,29.6393403
294,84817388,-82.3737276,29.6393595
295,84817389,-82.3738151,29.6393823
296,84817390,-82.3738763,29.6394494
297,84817391,-82.3738895,29.6395609
298,84817392,-82.373905,29.639773
299,84817393,-82.3738883,29.6403125
300,84817395,-82.373879,29.640881
301,84818177,-82.3387359,29.6422237
302,84818178,-82.3384734,29.6423545
303,84818179,-82.3380093,29.6425552
304,84818180,-82.3375952,29.6427062
305,84818182,-82.3370976,29.6428513
306,84818183,-82.3366693,29.6429465
307,84818185,-82.3362944,29.6430151
308,84818390,-82.3631675,29.6452708
309,84818391,-82.364142,29.645263
310,84820920,-82.3359942,29.652565
311,84820921,-82.3370983,29.6525665
312,84820938,-82.3404876,29.6527846
313,84820941,-82.3417935,29.6527893
314,84820995,-82.3447653,29.6528079
315,84821001,-82.3462847,29.6528116
316,84821002,-82.3478122,29.6528187
317,84821003,-82.3493048,29.6528502
318,84821006,-82.333911,29.652338
319,84821019,-82.361535,29.652707
320,84821021,-82.362859,29.6527
321,84821023,-82.363657,29.652695
322,84821027,-82.3393121,29.6531334
323,84821029,-82.3404862,29.652824
324,84821032,-82.367277,29.653086
325,84821034,-82.368469,29.653081
326,84821036,-82.36968,29.653081
327,84821039,-82.3536404,29.6528682
328,84821040,-82.355197,29.652861
329,84822161,-82.3336379,29.6439527
330,84822552,-82.3719953,29.62629
331,84822555,-82.3715717,29.6268138
332,84822557,-82.3714622,29.6269207
333,84822558,-82.3713113,29.6270623
334,84822560,-82.370728,29.627548
335,84822563,-82.370288,29.627832
336,84822567,-82.3696531,29.6281337
337,84822570,-82.369331,29.628283
338,84822573,-82.3688313,29.6285217
339,84822576,-82.3676,29.629102
340,84822577,-82.367102,29.629339
341,84822581,-82.3656466,29.6300267
342,84822583,-82.365077,29.630291
343,84822592,-82.363989,29.630807
344,84822594,-82.363556,29.631007
345,84822613,-82.358467,29.633404
346,84822614,-82.3582177,29.6335293
347,84822616,-82.3580508,29.6336074
348,84822618,-82.3575867,29.6337899
349,84822620,-82.3568597,29.6340587
350,84822624,-82.3559474,29.6343954
351,84823029,-82.3499381,29.6521071
352,84823031,-82.3499491,29.654027
353,84825396,-82.3394379,29.6346203
354,84825398,-82.340237,29.634649
355,84825400,-82.3409615,29.6346883
356,84825401,-82.3411863,29.6346692
357,84825403,-82.3413411,29.6346025
358,84825405,-82.3416059,29.6343153
359,84828136,-82.339674,29.6433311
360,84828138,-82.339673,29.6432221
361,84828139,-82.3397368,29.6428214
362,84828140,-82.3399092,29.6424742
363,84828143,-82.3400515,29.642332
364,84828144,-82.3402109,29.6422227
365,84828145,-82.3404872,29.6420972
366,84828147,-82.3407433,29.6420681
367,84828148,-82.3408744,29.642056
368,84828150,-82.3411671,29.6419755
369,84828151,-82.34131,29.6418845
370,84828152,-82.3415427,29.6417223
371,84828153,-82.3417487,29.6416442
372,84828155,-82.3419466,29.6416166
373,84828157,-82.3422133,29.6416351
374,84828159,-82.3423481,29.6416606
375,84828161,-82.3427301,29.6413674
376,84828425,-82.3351177,29.6342316
377,84828426,-82.3351727,29.6342695
378,84828428,-82.3352572,29.6342841
379,84828430,-82.335828,29.63431
380,84828431,-82.336181,29.634316
381,84828432,-82.336374,29.634279
382,84829304,-82.3336471,29.6447556
383,84829307,-82.333773,29.6447345
384,84829310,-82.3343809,29.6442459
385,84831896,-82.3416499,29.6342847
386,84831898,-82.3416883,29.6341318
387,84831900,-82.3418154,29.6336903
388,84831902,-82.3418386,29.6335557
389,84832024,-82.35364,29.6520492
390,84832025,-82.3536401,29.6536037
391,84832027,-82.3536361,29.6544486
392,84832029,-82.353631,29.6553446
393,84832032,-82.3536368,29.6558018
394,84832034,-82.3536394,29.6562634
395,84832432,-82.3687037,29.6279372
396,84833149,-82.340916,29.6557534
397,84833434,-82.3405034,29.6546178
398,84833436,-82.3417907,29.6546014
399,84833440,-82.3432377,29.6545969
400,84833442,-82.3446437,29.6545843
401,84833447,-82.3462808,29.654569
402,84833449,-82.347031,29.654595
403,84833453,-82.351504,29.654433
404,84833454,-82.352228,29.6544327
405,84833456,-82.3550676,29.6544736
406,84833457,-82.355207,29.6544838
407,84833459,-82.3392293,29.654398
408,84833461,-82.3404999,29.6544039
409,84833778,-82.359458,29.652237
410,84833780,-82.359442,29.651241
411,84833782,-82.3594586,29.6503783
412,84833934,-82.3476486,29.6501751
413,84833936,-82.3462646,29.6506396
414,84834222,-82.3508428,29.6521075
415,84834224,-82.350839,29.653338
416,84834226,-82.3508276,29.6540327
417,84835496,-82.3559598,29.6382292
418,84835500,-82.3558477,29.637653
419,84835556,-82.3667693,29.6255506
420,84835558,-82.3671693,29.6255331
421,84836444,-82.357087,29.626733
422,84836456,-82.3563392,29.6256075
423,84836518,-82.3471964,29.6558204
424,84836633,-82.3550727,29.6483488
425,84836635,-82.3548594,29.6483239
426,84836648,-82.3506045,29.6483511
427,84836649,-82.3504655,29.6484276
428,84836651,-82.350319,29.6485276
429,84836652,-82.3501975,29.6485917
430,84836654,-82.3500343,29.6486371
431,84836655,-82.3497329,29.6486504
432,84836661,-82.3497293,29.6488678
433,84836664,-82.3460255,29.6486187
434,84836666,-82.3452668,29.6486154
435,84836667,-82.3450638,29.6486173
436,84836669,-82.3435047,29.6485989
437,84836673,-82.3393266,29.6484454
438,84837623,-82.337794,29.655177
439,84837625,-82.3378179,29.6552379
440,84837627,-82.3378376,29.6554003
441,84837629,-82.3378353,29.6557211
442,84837765,-82.3376433,29.6520651
443,84837766,-82.3376371,29.6535975
444,84837832,-82.361533,29.651989
445,84837833,-82.361521,29.65118
446,84837839,-82.361789,29.649588
447,84837841,-82.361755,29.649429
448,84837843,-82.361752,29.64936
449,84837845,-82.361753,29.648977
450,84837847,-82.361721,29.648835
451,84837849,-82.36173,29.648058
452,84837876,-82.3588658,29.6376492
453,84837877,-82.3596848,29.637649
454,84837880,-82.3620687,29.6376425
455,84837884,-82.3641796,29.6376443
456,84837887,-82.365082,29.637645
457,84837892,-82.3693006,29.6376037
458,84837894,-82.3705924,29.6376204
459,84837899,-82.3724352,29.6376048
460,84837901,-82.3736992,29.6376111
461,84840600,-82.361936,29.64806
462,84840603,-82.36235,29.648051
463,84840605,-82.362822,29.648056
464,84840607,-82.363057,29.648048
465,84840608,-82.363155,29.648075
466,84840610,-82.363264,29.648115
467,84840611,-82.363351,29.648167
468,84840613,-82.363444,29.648257
469,84840614,-82.363535,29.648464
470,84840616,-82.363562,29.648686
471,84840617,-82.363587,29.648758
472,84840619,-82.363614,29.648811
473,84840621,-82.363694,29.648913
474,84840623,-82.363853,29.649041
475,84840626,-82.3640774,29.6491434
476,84841548,-82.3625039,29.6504016
477,84841553,-82.3625246,29.6496103
478,84841565,-82.363196,29.647428
479,84841685,-82.335017,29.652857
480,84841687,-82.3359956,29.652889
481,84841724,-82.3339142,29.6530225
482,84841729,-82.3417936,29.6530924
483,84841731,-82.3432364,29.6531308
484,84843328,-82.365087,29.630176
485,84843333,-82.3651045,29.6291232
486,84843337,-82.365126,29.627827
487,84843339,-82.3651876,29.6276618
488,84843502,-82.3637214,29.6476361
489,84843503,-82.364089,29.6480505
490,84845328,-82.3338987,29.6520587
491,84845330,-82.3342994,29.652059
492,84845331,-82.3350359,29.6520631
493,84845333,-82.3359967,29.6520619
494,84845335,-82.3371133,29.6520681
495,84845337,-82.3393828,29.6521105
496,84845339,-82.340498,29.6521214
497,84845341,-82.3417853,29.6521265
498,84845343,-82.342678,29.6521234
499,84845344,-82.3432376,29.6521165
500,84845345,-82.3434974,29.6521182
501,84845347,-82.34476,29.652115
502,84845349,-82.3462866,29.6521214
503,84845350,-82.347818,29.6520822
504,84845352,-82.3496962,29.6520948
505,84845353,-82.3515051,29.6521271
506,84845357,-82.3522258,29.6520357
507,84845360,-82.35506,29.652063
508,84845361,-82.355661,29.652069
509,84845362,-82.356459,29.652104
510,84845364,-82.357366,29.652148
511,84845366,-82.358441,29.652196
512,84845368,-82.35885,29.652217
513,84845370,-82.35997,29.652228
514,84845371,-82.360481,29.652117
515,84845373,-82.360907,29.652025
516,84845375,-82.361156,29.651995
517,84845376,-82.362853,29.652
518,84845377,-82.363642,29.65201
519,84845379,-82.364329,29.652021
520,84845382,-82.364531,29.652042
