OBJECTID,osmid,POINT_Y,point_x
96,84848370,-82.333767,29.62575
97,1801998831,-82.359277,29.6257516
98,84897921,-82.356391,29.625752
99,7025251099,-82.3709002,29.6257601
100,8904882080,-82.3728621,29.6257606
101,4072027099,-82.3659812,29.6257655
102,3705017546,-82.3379797,29.6257694
103,3881267244,-82.3395138,29.6257707
104,84718247,-82.3695456,29.6257779
105,8904882081,-82.3728067,29.625778
106,84776607,-82.367811,29.625791
107,7071032919,-82.3370566,29.6257925
108,84776606,-82.367205,29.625794
109,7025251109,-82.3699861,29.6258002
110,6062684361,-82.3692555,29.6258016
111,84752017,-82.361317,29.6258031
112,7071032918,-82.3368197,29.6258052
113,7335023400,-82.3390331,29.6258176
114,7025228664,-82.3663719,29.6258189
115,84718248,-82.3696847,29.6258216
116,84776604,-82.3659884,29.6258303
117,7307707655,-82.3713286,29.6258341
118,8904882082,-82.3727374,29.6258436
119,7025688894,-82.3593699,29.6258457
120,3705017548,-82.3386335,29.6258506
121,3705017547,-82.3385245,29.6258506
122,3705017551,-82.3386777,29.6258522
123,1021355267,-82.3562696,29.625853
124,6062684360,-82.3693346,29.6258581
125,2168048250,-82.3737079,29.6258586
126,7025251086,-82.371012,29.6258605
127,84850448,-82.3338416,29.6258715
128,3705017550,-82.3380855,29.6258736
129,3705017549,-82.3379846,29.6258738
130,7025251091,-82.370985,29.6258817
131,8904882083,-82.3727281,29.6259039
132,7025251087,-82.3709486,29.6259103
133,7335023399,-82.3375715,29.6259119
134,7307707654,-82.3715644,29.6259135
135,1276695645,-82.3712975,29.6259146
136,84718249,-82.3697937,29.625925
137,84762765,-82.3400384,29.6259279
138,7335023410,-82.3401935,29.6259285
139,8389525363,-82.3718358,29.6259332
140,6062684359,-82.3696458,29.6259409
141,4159558675,-82.3659889,29.6259436
142,8389525362,-82.3718149,29.6259549
143,8389525361,-82.3717858,29.6259649
144,8389525360,-82.3717545,29.6259658
145,84762764,-82.3403381,29.625966
146,84863148,-82.340808,29.625967
147,2168048251,-82.3738484,29.6259745
148,3801708689,-82.37398,29.6259786
149,7335023411,-82.3398654,29.6259802
150,6133150509,-82.3732902,29.6259833
151,1801998844,-82.358173,29.6259884
152,8904882084,-82.3727327,29.626003
153,8904882090,-82.3726611,29.6260059
154,4072027100,-82.3722609,29.626008
155,8904882086,-82.3728621,29.6260083
156,8904882085,-82.3725639,29.62601
157,3809390266,-82.3726615,29.6260132
158,618869477,-82.3722218,29.6260137
159,618869480,-82.3723054,29.6260161
160,84897919,-82.356515,29.626021
161,8904882087,-82.3729007,29.6260284
162,7328109978,-82.3669405,29.6260299
163,7328109977,-82.3674314,29.6260369
164,6078416608,-82.3723481,29.6260394
165,1801998822,-82.3574452,29.6260446
166,7025251110,-82.3701482,29.6260549
167,1801998826,-82.3572316,29.6260617
168,4072027101,-82.3698997,29.6260633
169,618869383,-82.3723937,29.6260683
170,84740773,-82.372106,29.6260696
171,84762761,-82.3405034,29.6260734
172,84762767,-82.3397411,29.6260742
173,84776609,-82.367811,29.62608
174,84889716,-82.36598,29.626084
175,7025251088,-82.3708851,29.6260859
176,84850446,-82.3339677,29.6260907
177,3705017552,-82.3386755,29.6260941
178,8904882089,-82.373207,29.6260981
179,1021355265,-82.3564359,29.6261001
180,1276695659,-82.3711543,29.6261213
181,1276695373,-82.3711121,29.6261238
182,8389525370,-82.3708832,29.6261276
183,1276695501,-82.3712003,29.6261309
184,7025688888,-82.3610744,29.6261322
185,3801708691,-82.3732476,29.6261378
186,84773644,-82.362324,29.626139
187,1276695460,-82.3710562,29.6261454
188,7025688889,-82.360979,29.6261492
189,1276695513,-82.3712432,29.6261546
190,3881267245,-82.3395369,29.6261626
191,84773646,-82.362669,29.626164
192,84889714,-82.36596,29.626177
193,1276695624,-82.3710176,29.6261809
194,1276695352,-82.3712739,29.6261885
195,8904882088,-82.3730686,29.6261905
196,8899770251,-82.3739213,29.6261949
197,2168048252,-82.3733071,29.626196
198,8389525371,-82.3708987,29.6261979
199,7025688893,-82.3594263,29.6262077
200,84762757,-82.3405647,29.626212
201,7025688890,-82.3600248,29.6262133
202,3809390267,-82.372306,29.6262134
203,7120518703,-82.3735581,29.626216
204,84762770,-82.3394252,29.6262187
205,3881267246,-82.3395467,29.6262194
206,84762768,-82.3396487,29.62622
207,1383084591,-82.339261,29.6262235
208,3881267247,-82.3391905,29.6262277
209,84726929,-82.3647901,29.6262314
210,1276695557,-82.3712907,29.6262334
211,84897917,-82.356661,29.626239
212,1276695442,-82.3709949,29.6262395
213,1801998887,-82.3584032,29.6262413
214,8389620762,-82.3386834,29.6262449
215,7025688891,-82.3595954,29.6262472
216,84773641,-82.362179,29.62625
217,8389525377,-82.3705562,29.6262516
218,7025688892,-82.3594675,29.6262548
219,84889712,-82.365911,29.626257
220,1801998875,-82.3582015,29.6262574
221,8389620760,-82.339261,29.6262579
222,8389620761,-82.3391903,29.6262579
223,7335023401,-82.3372009,29.6262582
224,8389525372,-82.3708857,29.6262639
225,6062673637,-82.3712869,29.6262726
226,84773649,-82.362824,29.626285
227,6061498587,-82.3738109,29.626286
228,3801708692,-82.3736252,29.6262861
229,84714123,-82.3734709,29.6262885
230,84822552,-82.3719953,29.62629
231,84773651,-82.362944,29.626291
232,84863147,-82.340848,29.626295
233,8389525376,-82.3705951,29.6262958
234,1276695424,-82.3710051,29.6262984
235,8389525373,-82.3708522,29.6263114
236,6062673638,-82.3713972,29.6263145
237,1276695613,-82.3712602,29.6263348
238,84797824,-82.365824,29.626336
239,84923941,-82.368517,29.62634
240,6062673639,-82.3714435,29.6263402
241,8389525374,-82.3707926,29.6263412
242,1276695411,-82.3710402,29.6263436
243,8389525375,-82.3707159,29.6263448
244,7025251089,-82.3703713,29.6263448
245,1276695364,-82.3712422,29.6263468
246,84773653,-82.363242,29.626349
247,2168048253,-82.3725836,29.6263492
248,3809390269,-82.3726756,29.6263538
249,7120518706,-82.3735456,29.6263569
250,84773655,-82.363599,29.626361
251,1276695502,-82.3710667,29.6263612
252,1276695394,-82.3712039,29.6263684
